station,prec,surfwet,glorad,metp,megrtp,mesotp10,mesotp30,meanrh,meanwd,meanwv,wd2,wv2,pres,netrad,heatflux,DATE_TIME,delta_t
6069,0.0,0,128.4,7.5,8.1,9.3,10.1,83.9,,,225.8,2.1,984.5,68.7,-6.9,2025-10-28 11:00:00,0.0
6069,0.0,0,112.3,7.8,8.2,9.4,10.1,84.1,,,220.6,2.0,984.2,59.7,-4.9,2025-10-28 12:00:00,1.0
6069,0.1,0,83.6,7.5,7.7,9.5,10.1,85.4,,,261.6,1.8,984.1,47.1,-3.7,2025-10-28 13:00:00,2.0
6069,0.1,0,121.8,7.3,7.8,9.5,10.1,86.6,,,256.7,1.8,984.1,71.6,-3.1,2025-10-28 14:00:00,3.0
6069,0.0,0,114.5,7.6,8.4,9.6,10.1,85.2,,,259.2,2.0,984.3,33.0,-2.6,2025-10-28 15:00:00,4.0
6069,0.0,0,22.3,7.0,6.8,9.6,10.1,87.4,,,230.2,1.1,984.4,-33.9,-2.4,2025-10-28 16:00:00,5.0
6069,0.0,0,0.3,6.5,6.1,9.7,10.1,90.7,,,211.3,1.0,984.5,-44.2,-3.0,2025-10-28 17:00:00,6.0
6069,0.0,0,0.1,6.3,6.0,9.7,10.1,93.0,,,204.0,1.0,984.9,-25.7,-4.2,2025-10-28 18:00:00,7.0
6069,0.0,0,0.2,6.5,6.5,9.6,10.1,93.9,,,218.7,0.9,985.3,-15.4,-5.0,2025-10-28 19:00:00,8.0
6069,0.0,0,0.1,6.7,6.7,9.6,10.1,95.1,,,206.2,0.9,985.6,-14.0,-5.3,2025-10-28 20:00:00,9.0
6069,0.0,0,0.0,6.7,6.6,9.6,10.1,96.2,,,198.4,0.8,985.8,-13.4,-5.3,2025-10-28 21:00:00,10.0
6069,0.0,0,0.0,6.7,6.5,9.6,10.1,96.8,,,191.8,1.5,986.0,-12.5,-5.3,2025-10-28 22:00:00,11.0
6069,0.0,0,0.3,6.8,6.7,9.6,10.1,97.2,,,221.1,1.0,986.4,-9.7,-5.5,2025-10-28 23:00:00,12.0
6069,0.0,0,0.1,7.0,6.9,9.5,10.1,97.3,,,221.0,1.0,986.8,-11.5,-5.5,2025-10-29 00:00:00,13.0
6069,0.0,0,0.0,6.6,6.2,9.5,10.1,97.4,,,190.4,1.1,986.8,-14.9,-5.5,2025-10-29 01:00:00,14.0
6069,0.0,0,0.1,6.5,6.3,9.5,10.1,97.7,,,187.2,1.0,987.0,-11.7,-5.8,2025-10-29 02:00:00,15.0
6069,0.0,0,0.0,6.4,6.3,9.5,10.1,97.9,,,211.5,1.3,987.1,-10.6,-6.0,2025-10-29 03:00:00,16.0
6069,0.0,0,0.0,5.6,5.4,9.5,10.1,97.9,,,212.1,0.7,987.4,-11.3,-6.1,2025-10-29 04:00:00,17.0
6069,0.0,0,0.2,6.2,5.8,9.4,10.0,98.2,,,186.8,1.3,987.6,-11.2,-6.4,2025-10-29 05:00:00,18.0
6069,0.0,0,0.1,7.3,7.2,9.4,10.0,98.3,,,208.1,1.4,987.8,-10.5,-6.8,2025-10-29 06:00:00,19.0
6069,0.3,0,3.8,7.8,7.6,9.4,10.0,98.2,,,215.9,1.9,988.1,-7.3,-6.6,2025-10-29 07:00:00,20.0
