DATE_TIME,TIME_NORM_GLOBAL[h],T[degc],P_ATMOS[hpa],F_BC,Q[m3/s],INTERVAL,START_TIME,T_10cm[degc],Project,Experiment,REPLICATE,Plot
2025-10-28 10:37:10.763,0.0,8.1,984.5,0.0005769034759690727,0.03436277055186325,1,2025-10-28 10:30:10,9.3,N-Grass,CattleAcid,1,4AA
2025-10-28 11:01:10.217,0.3998483333333333,8.1,984.5,-0.009900236467781915,0.03436277055186325,2,2025-10-28 10:37:10.763,9.3,N-Grass,CattleAcid,1,4AA
2025-10-28 11:33:08.479,0.9326988888888889,8.2,984.2,0.0007417605325488407,0.03436277055186325,1,2025-10-28 11:01:10.217,9.4,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 11:55:43.660,1.3091380555555556,8.2,984.2,,0.034139420030223126,1,2025-10-28 11:33:08.479,9.4,N-Grass,CattleAcid,3,17AA
2025-10-28 12:03:42.755,1.44222,8.2,984.2,,0.03362142174269256,1,2025-10-28 11:55:43.660,9.4,N-Grass,CattleAcid,3,18H2SO4
2025-10-28 12:11:42.380,1.5754491666666668,8.2,984.2,0.0033151358095009084,0.03436277055186325,3,2025-10-28 12:03:42.755,9.4,N-Grass,CattleAcid,1,4AA
2025-10-28 12:27:42.187,1.8420622222222225,8.2,984.2,0.0014115453988258154,0.03436277055186325,2,2025-10-28 12:11:42.380,9.4,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 12:43:41.677,2.108587222222222,7.7,984.1,,0.033848190498164,1,2025-10-28 12:27:42.187,9.5,N-Grass,CattleAcid,1,11RAW
2025-10-28 12:51:40.605,2.2416227777777777,7.7,984.1,,0.034139420030223126,1,2025-10-28 12:43:41.677,9.5,N-Grass,CattleAcid,2,12H2SO4
2025-10-28 12:59:41.128,2.375101388888889,7.7,984.1,,0.033848190498164,1,2025-10-28 12:51:40.605,9.5,N-Grass,CattleAcid,2,13RAW
2025-10-28 13:07:40.963,2.508388888888889,7.7,984.1,,0.034415112959279966,1,2025-10-28 12:59:41.128,9.5,N-Grass,CattleAcid,2,14AA
2025-10-28 13:15:39.785,2.641395,7.7,984.1,,0.034375863625514924,1,2025-10-28 13:07:40.963,9.5,N-Grass,CattleAcid,3,15RAW
2025-10-28 13:31:39.707,2.90804,7.8,984.1,,0.034139420030223126,2,2025-10-28 13:15:39.785,9.5,N-Grass,CattleAcid,3,17AA
2025-10-28 13:39:39.608,3.041345833333333,7.8,984.1,,0.03362142174269256,2,2025-10-28 13:31:39.707,9.5,N-Grass,CattleAcid,3,18H2SO4
2025-10-28 13:47:39.348,3.174606944444444,7.8,984.1,,0.03436277055186325,4,2025-10-28 13:39:39.608,9.5,N-Grass,CattleAcid,1,4AA
2025-10-28 14:03:38.921,3.441155,7.8,984.1,0.003929436556095016,0.03436277055186325,3,2025-10-28 13:47:39.348,9.5,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 14:18:49.588,3.694118055555556,7.8,984.1,,0.033848190498164,2,2025-10-28 14:03:38.921,9.5,N-Grass,CattleAcid,1,11RAW
2025-10-28 14:27:00.210,3.8304019444444446,7.8,984.1,0.0004916355738858002,0.03436277055186325,5,2025-10-28 14:18:49.588,9.5,N-Grass,CattleAcid,1,4AA
2025-10-28 14:42:59.391,4.096841111111111,8.4,984.3,0.010118582189770036,0.03436277055186325,4,2025-10-28 14:27:00.210,9.6,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 14:58:58.599,4.363287777777778,8.4,984.3,,0.033848190498164,3,2025-10-28 14:42:59.391,9.6,N-Grass,CattleAcid,1,11RAW
2025-10-28 15:06:58.369,4.496557222222222,8.4,984.3,,0.034139420030223126,2,2025-10-28 14:58:58.599,9.6,N-Grass,CattleAcid,2,12H2SO4
2025-10-28 15:14:58.309,4.629873888888889,8.4,984.3,,0.033848190498164,2,2025-10-28 15:06:58.369,9.6,N-Grass,CattleAcid,2,13RAW
2025-10-28 15:22:57.698,4.7630375,8.4,984.3,,0.034415112959279966,2,2025-10-28 15:14:58.309,9.6,N-Grass,CattleAcid,2,14AA
2025-10-28 15:30:57.128,4.896212500000001,6.8,984.4,,0.034375863625514924,2,2025-10-28 15:22:57.698,9.6,N-Grass,CattleAcid,3,15RAW
2025-10-28 15:46:57.072,5.162863611111112,6.8,984.4,,0.034139420030223126,3,2025-10-28 15:30:57.128,9.6,N-Grass,CattleAcid,3,17AA
2025-10-28 15:54:57.703,5.296372222222222,6.8,984.4,,0.03362142174269256,3,2025-10-28 15:46:57.072,9.6,N-Grass,CattleAcid,3,18H2SO4
2025-10-28 16:02:56.482,5.429366388888889,6.8,984.4,,0.03436277055186325,6,2025-10-28 15:54:57.703,9.6,N-Grass,CattleAcid,1,4AA
2025-10-28 16:18:56.542,5.696049722222222,6.8,984.4,,0.03436277055186325,5,2025-10-28 16:02:56.482,9.6,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 16:28:46.405,5.859900555555556,6.8,984.4,,0.033848190498164,3,2025-10-28 16:18:56.542,9.6,N-Grass,CattleAcid,2,13RAW
2025-10-28 16:39:20.621,6.0360716666666665,6.1,984.5,-0.0024983033851570468,0.03436277055186325,7,2025-10-28 16:28:46.405,9.7,N-Grass,CattleAcid,1,4AA
2025-10-28 16:55:19.237,6.302353888888889,6.1,984.5,0.007571076513655861,0.03436277055186325,6,2025-10-28 16:39:20.621,9.7,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 17:19:20.069,6.702585,6.1,984.5,0.15358109015858126,0.033848190498164,4,2025-10-28 16:55:19.237,9.7,N-Grass,CattleAcid,1,11RAW
2025-10-28 17:27:19.421,6.8357383333333335,6.1,984.5,0.02848684705384714,0.034139420030223126,3,2025-10-28 17:19:20.069,9.7,N-Grass,CattleAcid,2,12H2SO4
2025-10-28 17:35:18.789,6.968896111111111,6.0,984.9,0.28021612969976517,0.033848190498164,4,2025-10-28 17:27:19.421,9.7,N-Grass,CattleAcid,2,13RAW
