"scenario", "treatment", "ctime", "air.temp", "TAN.app", "man.dm", "man.ph", "app.mthd", "rain.cum", "app.rate.ni", "j"                , "er"                 , "shift"
         1, "AA"       ,       0,      8.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, -Inf               , -4.54228882116954e-18,    0
         1, "AA"       ,       1,      8.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 1.38467069343215   , 0.0223333982811638   ,    0
         1, "AA"       ,       2,      7.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 1.21677690293827   , 0.0419588321995229   ,    0
         1, "AA"       ,       3,      7.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 1.12560393436452   , 0.0601137343666925   ,    0
         1, "AA"       ,       4,      8.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 1.08419263258093   , 0.0776007123115462   ,    0
         1, "AA"       ,       5,      6.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.876067422615973  , 0.0917308320311587   ,    0
         1, "AA"       ,       6,      6.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.765605061858082  , 0.104079300770805    ,    0
         1, "AA"       ,       7,      6    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.703109863556363  , 0.115419782441069    ,    0
         1, "AA"       ,       8,      6.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.676264366956556  , 0.126327272230691    ,    0
         1, "AA"       ,       9,      6.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.635482748771912  , 0.136576993985077    ,    0
         1, "AA"       ,      10,      6.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.584359958503589  , 0.146002154606102    ,    0
         1, "AA"       ,      11,      6.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.538164325850982  , 0.154682224377892    ,    0
         1, "AA"       ,      12,      6.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.506884368502105  , 0.162857778708571    ,    0
         1, "AA"       ,      13,      6.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.477525166468856  , 0.170559797522585    ,    0
         1, "AA"       ,      14,      6.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.423699795100593  , 0.177393665185498    ,    0
         1, "AA"       ,      15,      6.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.397874665966249  , 0.183810998507534    ,    0
         1, "AA"       ,      16,      6.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.371541561210721  , 0.189803604333514    ,    0
         1, "AA"       ,      17,      5.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.328830921721888  , 0.195107328877415    ,    0
         1, "AA"       ,      18,      5.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.316092657684912  , 0.200205597549752    ,    0
         1, "AA"       ,      19,      7.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.322163146182483  , 0.205401777326889    ,    0
         1, "AA"       ,      20,      7.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.308605565214698  , 0.210379286443255    ,    0
         1, "AA"       ,      21,      8    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.295499327313568  , 0.215145404625732    ,    0
         1, "AA"       ,      22,      8.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.286056782474056  , 0.219759223697894    ,    0
         1, "AA"       ,      23,      9.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.281301327491636  , 0.224296341883243    ,    0
         1, "AA"       ,      24,     10.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.276054603920898  , 0.228748835494871    ,    0
